,f_t,f_v,f_u
46,1597821926.736328,4.048501575769628e-12,0.0
47,1597821926.776256,4.2540323996432416e-12,0.0
48,1597821926.816218,4.4121670847754126e-12,0.0
49,1597821926.836219,4.212821753901807e-12,0.0
50,1597821926.876298,4.702064391124434e-12,0.0
51,1597821926.916323,4.741919389560893e-12,0.0
52,1597821926.936235,4.7849485551396186e-12,0.0
53,1597821926.97615,5.082110944613744e-12,0.0
54,1597821927.016171,5.0404052521469966e-12,0.0
55,1597821927.036125,4.9410665937613914e-12,0.0
56,1597821927.076144,5.035493154718953e-12,0.0
57,1597821927.116239,5.335199509831675e-12,0.0
58,1597821927.136165,5.226588831534363e-12,0.0
59,1597821927.176188,5.584401536336457e-12,0.0
60,1597821927.216178,5.625509867178433e-12,0.0
61,1597821927.236161,5.460481579730066e-12,0.0
62,1597821927.276154,5.842717798061835e-12,0.0
63,1597821927.316211,6.124869617115058e-12,0.0
64,1597821927.336177,5.998579353587432e-12,0.0
65,1597821927.375977,6.1751860042425235e-12,0.0
66,1597821927.41599,7.51336570550044e-06,0.15000000596046448
67,1597821927.435995,0.004391880748345808,0.15000000596046448
68,1597821927.476059,0.0040662252819013,0.15000000596046448
69,1597821927.515955,0.00376097645725309,0.15000000596046448
70,1597821927.535938,0.003439155596570052,0.15000000596046448
71,1597821927.575923,0.003167889982682596,0.15000000596046448
72,1597821927.615933,0.0029156275259386013,0.15000000596046448
73,1597821927.635893,0.0023999610626370287,0.15000000596046448
74,1597821927.675902,0.0022428984952893014,0.15000000596046448
75,1597821927.715879,0.0020936785297070415,0.15000000596046448
76,1597821927.735933,0.0019345897198804363,0.15000000596046448
77,1597821927.77601,0.0017983393004052885,0.15000000596046448
78,1597821927.815938,0.0016696675747648686,0.15000000596046448
79,1597821927.835962,0.0015357370382560827,0.15000000596046448
80,1597821927.875801,0.00484479695996388,0.15000000596046448
81,1597821927.91578,0.00457300447512505,0.15000000596046448
82,1597821927.935704,0.00427326696707487,0.15000000596046448
83,1597821927.975747,0.004017456239962695,0.15000000596046448
84,1597821928.015796,0.003772666577556072,0.15000000596046448
85,1597821928.035879,0.0029192417267118764,0.15000000596046448
86,1597821928.075766,0.002767497711402872,0.15000000596046448
87,1597821928.115816,0.002620350804554077,0.15000000596046448
88,1597821928.135832,0.0024603166272776198,0.15000000596046448
89,1597821928.175738,0.0023201111016979653,0.15000000596046448
90,1597821928.215586,0.0021848683035165864,0.15000000596046448
91,1597821928.235622,0.0029094461098836963,0.15000000596046448
92,1597821928.275637,0.0027832517264607024,0.15000000596046448
93,1597821928.315629,0.002659651660248489,0.15000000596046448
94,1597821928.335687,0.002517867507296662,0.15000000596046448
95,1597821928.376405,0.0023980785986589983,0.15000000596046448
96,1597821928.415698,0.002280280082812594,0.15000000596046448
97,1597821928.435756,0.0021498625098322678,0.15000000596046448
98,1597821928.475603,0.007150780763701655,0.15000000596046448
99,1597821928.515534,0.006901629578691554,0.15000000596046448
100,1597821928.535567,0.006590941178739349,0.15000000596046448
101,1597821928.57553,0.0063404707806181005,0.15000000596046448
102,1597821928.615503,0.006094065344896146,0.15000000596046448
103,1597821928.635563,0.004836815277209701,0.15000000596046448
104,1597821928.675553,0.004683809373385551,0.15000000596046448
105,1597821928.715542,0.004531379073803965,0.15000000596046448
106,1597821928.735383,0.0043408551258945095,0.15000000596046448
107,1597821928.77536,0.004186279342908889,0.15000000596046448
108,1597821928.815479,0.004033651885197461,0.15000000596046448
109,1597821928.835467,0.012448012850113559,0.15000000596046448
110,1597821928.875409,0.012105113479361253,0.15000000596046448
111,1597821928.915458,0.011761480218771153,0.15000000596046448
112,1597821928.935432,0.011318088032667886,0.15000000596046448
113,1597821928.975479,0.010963706705154792,0.15000000596046448
114,1597821929.015567,0.010610822105167967,0.15000000596046448
115,1597821929.035439,0.02856941081750844,0.15000000596046448
116,1597821929.075246,0.027873417647142292,0.15000000596046448
117,1597821929.115336,0.027173375809452352,0.15000000596046448
118,1597821929.135302,0.02624690322970144,0.15000000596046448
119,1597821929.175206,0.025512797627739954,0.15000000596046448
120,1597821929.215339,0.024778934844854657,0.15000000596046448
121,1597821929.23531,0.02385411640333048,0.15000000596046448
122,1597821929.275266,0.05739058282813333,0.15000000596046448
123,1597821929.315257,0.056167343308778546,0.15000000596046448
124,1597821929.335163,0.0544817999690001,0.15000000596046448
125,1597821929.375304,0.053180404659539486,0.15000000596046448
126,1597821929.415176,0.05185910056820299,0.15000000596046448
127,1597821929.435206,0.04064706890258793,0.15000000596046448
128,1597821929.475128,0.03981345618460721,0.15000000596046448
129,1597821929.515181,0.03896428002960345,0.15000000596046448
130,1597821929.535122,0.037839208671205084,0.15000000596046448
131,1597821929.575217,0.03693651997903525,0.15000000596046448
132,1597821929.61505,0.036019653597915556,0.15000000596046448
133,1597821929.63501,0.08487923080344557,0.15000000596046448
134,1597821929.675049,0.08345537302544567,0.15000000596046448
135,1597821929.715104,0.08198899121535771,0.15000000596046448
136,1597821929.735068,0.07989219050012718,0.15000000596046448
137,1597821929.77509,0.07829645920435246,0.15000000596046448
138,1597821929.815005,0.07666537852659462,0.15000000596046448
139,1597821929.835043,0.0744916828748637,0.15000000596046448
140,1597821929.874914,0.15699072298558586,0.15000000596046448
141,1597821929.914879,0.15476858911869915,0.15000000596046448
142,1597821929.934916,0.15133131807422098,0.15000000596046448
143,1597821929.974938,0.14885180381337074,0.15000000596046448
144,1597821930.015072,0.14630305266172622,0.15000000596046448
145,1597821930.034984,0.11481836047523439,0.15000000596046448
146,1597821930.074982,0.11318932434510691,0.15000000596046448
147,1597821930.115089,0.11150079550567682,0.15000000596046448
148,1597821930.135035,0.10906529650921734,0.15000000596046448
149,1597821930.174672,0.1071881951208834,0.15000000596046448
150,1597821930.214762,0.10527338356559784,0.15000000596046448
151,1597821930.23475,0.3585702177709126,0.15000000596046448
152,1597821930.274802,0.3550316262502137,0.15000000596046448
153,1597821930.314768,0.35126816198506117,0.15000000596046448
154,1597821930.33465,0.3447165446468515,0.15000000596046448
155,1597821930.374948,0.3403955734835778,0.15000000596046448
156,1597821930.414679,0.33581793623067036,0.15000000596046448
157,1597821930.434648,0.4428055762085954,0.15000000596046448
158,1597821930.474598,0.4389083077801325,0.15000000596046448
159,1597821930.514625,0.43476117446210955,0.15000000596046448
160,1597821930.53463,0.4273249483119163,0.15000000596046448
161,1597821930.574609,0.42244794383628936,0.15000000596046448
162,1597821930.614637,0.4173408933685532,0.15000000596046448
163,1597821930.634611,0.7204635403445531,0.15000000596046448
164,1597821930.674788,0.7154630173112126,0.15000000596046448
165,1597821930.714585,0.7099369581717021,0.15000000596046448
166,1597821930.734508,0.6990227346910232,0.15000000596046448
167,1597821930.774573,0.6923943109347986,0.15000000596046448
168,1597821930.814569,0.6853542687919523,0.15000000596046448
169,1597821930.834544,0.7333601938549066,0.15000000596046448
170,1597821930.874462,0.728468033291226,0.15000000596046448
171,1597821930.914394,0.7231568785393938,0.15000000596046448
172,1597821930.934469,0.7127771250032288,0.15000000596046448
173,1597821930.974381,0.7063254540910674,0.15000000596046448
174,1597821931.014404,0.6995023483728722,0.15000000596046448
175,1597821931.034434,0.9406644722698541,0.15000000596046448
176,1597821931.074384,0.9355321151217558,0.15000000596046448
177,1597821931.114418,0.9298915760511733,0.15000000596046448
178,1597821931.134412,0.9177487910959985,0.15000000596046448
179,1597821931.174425,0.9106739818713021,0.15000000596046448
180,1597821931.214343,0.9030675667600111,0.15000000596046448
181,1597821931.234319,0.8894983751637379,0.15000000596046448
182,1597821931.274284,0.865938821814325,0.15000000596046448
183,1597821931.3142,0.8608884178268951,0.15000000596046448
184,1597821931.334212,0.8504969569469863,0.15000000596046448
185,1597821931.374269,0.8442431275460491,0.15000000596046448
186,1597821931.414176,0.8375016784708352,0.15000000596046448
187,1597821931.43412,0.6587285757274793,0.15000000596046448
188,1597821931.474183,0.6538916867345358,0.15000000596046448
189,1597821931.514105,0.6487020061138072,0.15000000596046448
